PAM,VFSC
123.14,52.14
123.04,52.11
122.96,52.13
122.89,52.19
122.83,52.27
122.77,52.38
122.71,52.49
122.63,52.61
122.55,52.74
122.44,52.85
122.31,52.94
122.06,52.96
121.79,52.94
121.51,52.92
121.24,52.89
121.01,52.87
120.88,52.90
120.82,52.95
120.79,52.99
120.78,53.03
120.78,53.06
120.77,53.04
120.75,53.00
120.73,52.93
120.70,52.86
120.67,52.78
120.61,52.69
120.51,52.60
120.43,52.52
120.38,52.45
120.36,52.42
120.44,52.45
120.64,52.55
120.86,52.69
121.10,52.86
121.33,53.05
121.51,53.31
121.60,53.62
121.68,53.92
121.76,54.19
121.84,54.41
121.93,54.46
122.02,54.29
122.16,54.07
122.34,53.85
122.59,53.66
122.96,53.62
123.51,53.82
124.11,54.08
124.74,54.35
125.37,54.63
125.95,54.84
126.44,54.94
126.90,55.01
127.30,55.02
127.64,55.00
127.89,54.89
128.03,54.71
128.13,54.50
128.20,54.28
128.24,54.05
128.30,53.85
128.42,53.67
128.53,53.54
128.64,53.45
128.74,53.44
128.83,53.56
128.91,53.89
128.97,54.26
129.01,54.62
129.01,54.95
128.95,55.10
128.83,55.02
128.68,54.86
128.50,54.65
128.29,54.41
128.07,54.18
127.84,54.01
127.61,53.85
127.37,53.73
127.13,53.66
126.89,53.65
126.66,53.81
126.44,54.01
126.23,54.24
126.04,54.49
125.89,54.72
125.81,54.88
125.74,55.01
125.70,55.12
125.66,55.20
125.61,55.24
125.53,55.15
125.44,55.06
125.35,54.97
125.24,54.91
125.13,54.92
124.96,55.19
124.79,55.53
124.64,55.89
124.50,56.25
124.40,56.57
124.42,56.66
124.48,56.67
124.57,56.65
124.68,56.62
124.80,56.59
124.90,56.67
125.00,56.78
125.09,56.90
125.17,57.00
125.24,57.09
125.31,57.10
125.35,57.09
125.36,57.05
125.34,56.98
125.27,56.89
125.04,56.73
124.77,56.55
124.49,56.38
124.23,56.23
124.00,56.12
123.92,56.14
123.91,56.21
123.94,56.31
124.03,56.43
124.17,56.57
124.43,56.74
124.71,56.89
124.99,57.03
125.25,57.13
125.44,57.18
125.49,57.13
125.49,57.02
125.43,56.86
125.32,56.64
125.14,56.33
124.89,55.90
124.61,55.46
124.32,55.01
124.04,54.59
123.83,54.26
123.71,54.06
123.62,53.92
123.56,53.85
123.53,53.85
123.51,53.92
123.51,54.08
123.50,54.28
123.50,54.50
123.48,54.75
123.41,54.99
123.31,55.22
123.19,55.42
123.05,55.59
122.90,55.70
122.75,55.64
122.59,55.52
122.42,55.36
122.23,55.18
122.02,54.98
121.73,54.80
121.44,54.63
121.15,54.51
120.89,54.44
120.67,54.44
120.60,54.70
120.57,55.01
120.57,55.33
120.59,55.65
120.62,55.87
120.64,55.90
120.65,55.87
120.67,55.81
120.70,55.73
120.73,55.65
120.76,55.60
120.78,55.56
120.81,55.52
120.83,55.50
120.82,55.49
120.78,55.52
120.75,55.55
120.73,55.61
120.75,55.68
120.85,55.78
121.04,55.89
121.25,56.02
121.48,56.14
121.70,56.25
121.88,56.34
122.04,56.40
122.17,56.44
122.27,56.46
122.35,56.45
122.35,56.41
122.33,56.35
122.29,56.26
122.24,56.17
122.21,56.06
122.21,55.92
122.23,55.77
122.29,55.64
122.36,55.55
122.48,55.50
122.67,55.60
122.90,55.75
123.15,55.94
123.40,56.17
123.64,56.42
123.85,56.72
124.04,57.01
124.21,57.29
124.35,57.53
124.45,57.69
124.50,57.70
124.52,57.66
124.51,57.57
124.48,57.44
124.44,57.26
124.38,57.05
124.31,56.83
124.23,56.60
124.14,56.37
124.04,56.17
123.92,56.03
123.79,55.94
123.67,55.87
123.56,55.83
123.47,55.82
123.41,55.85
123.39,55.92
123.40,56.00
123.45,56.08
123.54,56.16
123.75,56.19
124.02,56.19
124.30,56.19
124.57,56.20
124.81,56.23
124.92,56.36
124.97,56.52
124.98,56.67
124.96,56.79
124.91,56.86
124.86,56.72
124.80,56.49
124.72,56.21
124.64,55.91
124.56,55.60
124.48,55.35
124.41,55.14
124.34,54.93
124.28,54.74
124.21,54.56
124.18,54.41
124.16,54.26
124.12,54.11
124.05,53.95
123.94,53.77
123.72,53.51
123.44,53.21
123.12,52.90
122.78,52.60
122.44,52.32
122.08,52.08
121.74,51.89
121.42,51.73
121.15,51.62
120.93,51.56
120.80,51.53
120.80,51.55
120.88,51.63
121.02,51.80
121.22,52.07
121.49,52.49
121.88,53.21
122.30,53.99
122.72,54.80
123.11,55.58
123.44,56.27
123.64,56.70
123.77,57.03
123.83,57.30
123.81,57.50
123.69,57.67
123.43,57.85
123.13,57.97
122.81,57.99
122.48,57.92
122.25,57.57
122.08,57.05
121.94,56.47
121.83,55.90
121.74,55.38
121.64,55.15
121.54,55.17
121.48,55.26
121.45,55.39
121.48,55.52
121.60,55.47
121.81,55.23
122.08,55.02
122.40,54.89
122.75,54.89
123.16,55.35
123.60,56.19
124.05,57.12
124.50,58.04
124.92,58.89
125.28,59.28
125.57,59.30
125.81,59.20
126.01,59.02
126.14,58.79
126.17,58.70
126.11,58.76
126.00,58.84
125.87,58.90
125.74,58.95
125.64,58.93
125.65,58.78
125.66,58.61
125.68,58.43
125.67,58.24
125.64,58.11
125.54,58.08
125.41,58.07
125.26,58.06
125.07,58.06
124.86,58.04
124.59,57.93
124.30,57.81
124.00,57.68
123.70,57.55
123.41,57.42
123.15,57.28
122.92,57.16
122.71,57.06
122.52,57.00
122.34,56.97
122.19,57.09
122.06,57.31
121.94,57.52
121.84,57.71
121.74,57.84
121.63,57.70
121.50,57.30
121.38,56.87
121.28,56.47
121.21,56.15
121.18,56.06
121.21,56.48
121.28,57.00
121.37,57.56
121.49,58.12
121.64,58.56
121.81,58.66
121.99,58.69
122.19,58.66
122.39,58.60
122.60,58.56
122.80,58.61
123.00,58.67
123.18,58.73
123.36,58.77
123.51,58.80
123.55,58.70
123.60,58.60
123.66,58.54
123.76,58.53
123.92,58.63
124.30,59.13
124.71,59.64
125.13,60.12
125.55,60.47
125.92,60.54
126.15,59.98
126.34,59.27
126.49,58.47
126.59,57.63
126.65,56.88
126.65,56.39
126.63,55.98
126.57,55.66
126.50,55.43
126.41,55.34
126.31,55.48
126.20,55.68
126.09,55.90
125.98,56.12
125.88,56.23
125.83,56.19
125.76,56.07
125.67,55.88
125.53,55.62
125.29,55.23
124.88,54.66
124.45,54.07
124.01,53.52
123.59,53.04
123.26,52.78
123.11,52.89
123.02,53.12
122.97,53.41
122.95,53.73
122.96,53.99
122.97,54.12
122.99,54.21
123.02,54.28
123.03,54.31
123.02,54.31
122.95,54.28
122.87,54.22
122.77,54.14
122.67,54.03
122.58,53.91
122.52,53.73
122.47,53.56
122.41,53.40
122.34,53.28
122.25,53.21
122.10,53.30
121.95,53.43
121.79,53.58
121.63,53.75
121.49,53.91
121.34,53.92
121.22,53.92
121.13,53.93
121.08,53.97
121.08,54.04
121.20,54.28
121.37,54.57
121.58,54.89
121.81,55.23
122.07,55.56
122.33,55.84
122.59,56.11
122.85,56.37
123.10,56.61
123.34,56.85
123.50,57.08
123.63,57.30
123.76,57.51
123.89,57.70
124.03,57.88
124.26,58.02
124.49,58.14
124.73,58.25
124.96,58.36
125.17,58.47
125.31,58.62
125.43,58.76
125.52,58.90
125.58,59.04
125.60,59.17
125.57,59.26
125.51,59.34
125.45,59.42
125.40,59.49
125.38,59.57
125.46,59.72
125.56,59.84
125.64,59.92
125.71,59.95
125.73,59.84
125.66,59.47
125.54,59.06
125.38,58.66
125.19,58.30
124.93,58.08
124.53,58.20
124.14,58.41
123.79,58.68
123.50,58.99
123.39,59.27
123.57,59.43
123.85,59.61
124.17,59.81
124.52,60.05
124.81,60.41
124.97,60.96
125.10,61.50
125.23,62.00
125.35,62.41
125.49,62.52
125.65,62.30
125.82,62.00
125.99,61.68
126.16,61.39
126.35,61.39
126.55,61.58
126.72,61.80
126.88,62.03
127.00,62.22
127.06,62.24
127.07,62.18
127.04,62.05
126.98,61.83
126.86,61.51
126.71,61.01
126.51,60.45
126.27,59.86
125.99,59.27
125.64,58.71
125.22,58.24
124.77,57.82
124.34,57.45
123.94,57.16
123.63,56.94
123.44,56.82
123.30,56.79
123.21,56.84
123.13,56.97
123.06,57.30
122.99,57.77
122.93,58.26
122.88,58.73
122.85,59.14
122.86,59.28
122.88,59.29
122.90,59.21
122.90,59.05
122.86,58.81
122.75,58.42
122.60,58.00
122.43,57.58
122.23,57.21
122.00,56.91
121.68,56.86
121.38,56.89
121.12,57.00
120.94,57.20
120.89,57.46
121.09,57.78
121.39,58.16
121.76,58.59
122.19,59.07
122.66,59.60
123.14,60.18
123.64,60.77
124.14,61.36
124.62,61.94
125.08,62.50
125.50,63.02
125.88,63.46
126.22,63.81
126.50,64.05
126.71,63.93
126.86,63.71
126.93,63.43
126.94,63.14
126.86,62.90
126.61,62.90
126.31,62.94
126.00,63.00
125.70,63.08
125.49,63.12
125.45,63.09
125.44,63.05
125.46,63.01
125.49,63.00
125.49,63.04
125.43,63.13
125.38,63.25
125.33,63.39
125.29,63.53
125.31,63.65
125.36,63.76
125.42,63.87
125.46,64.00
125.48,64.14
125.41,64.37
125.30,64.61
125.16,64.83
125.01,65.01
124.85,65.12
124.73,65.02
124.60,64.85
124.46,64.64
124.31,64.39
124.13,64.13
123.85,63.87
123.56,63.63
123.27,63.41
123.02,63.24
122.80,63.12
122.69,63.08
122.64,63.12
122.65,63.26
122.73,63.50
122.88,63.89
123.14,64.59
123.45,65.35
123.81,66.13
124.20,66.87
124.60,67.42
125.01,67.69
125.42,67.86
125.82,67.96
126.20,68.01
126.56,68.09
126.87,68.21
127.14,68.30
127.36,68.34
127.53,68.33
127.59,68.21
127.55,67.95
127.46,67.66
127.34,67.35
127.20,67.03
127.08,66.74
126.98,66.50
126.90,66.31
126.84,66.18
126.82,66.13
126.84,66.24
126.92,66.55
127.04,66.90
127.20,67.25
127.38,67.59
127.63,67.74
127.92,67.74
128.20,67.68
128.47,67.58
128.70,67.45
128.80,67.34
128.80,67.25
128.76,67.15
128.67,67.05
128.54,66.95
128.40,66.87
128.23,66.81
128.04,66.74
127.83,66.66
127.60,66.58
127.32,66.46
127.02,66.32
126.72,66.17
126.42,66.03
126.14,65.89
125.88,65.76
125.66,65.64
125.48,65.56
125.38,65.53
125.35,65.58
125.51,65.81
125.83,66.19
126.20,66.63
126.59,67.09
126.98,67.56
127.25,68.00
127.43,68.39
127.57,68.71
127.67,68.95
127.73,69.09
127.75,68.96
127.74,68.70
127.72,68.36
127.68,67.97
127.64,67.56
127.61,67.19
127.59,66.84
127.58,66.52
127.58,66.24
127.60,66.03
127.65,66.00
127.72,66.03
127.79,66.10
127.86,66.20
127.93,66.31
127.97,66.38
128.01,66.46
128.05,66.55
128.07,66.63
128.11,66.75
128.15,66.91
128.18,67.04
128.19,67.14
128.16,67.18
128.06,67.05
127.89,66.74
127.68,66.40
127.46,66.06
127.23,65.76
127.01,65.63
126.83,65.76
126.66,65.95
126.49,66.19
126.34,66.44
126.20,66.67
126.06,66.72
125.94,66.76
125.85,66.82
125.79,66.90
125.78,67.04
125.83,67.33
125.94,67.68
126.09,68.05
126.28,68.46
126.53,68.88
126.87,69.29
127.23,69.71
127.61,70.11
127.97,70.48
128.30,70.84
128.54,71.17
128.75,71.44
128.92,71.65
129.04,71.78
129.12,71.78
129.14,71.53
129.11,71.22
129.05,70.86
128.96,70.49
128.83,70.14
128.66,70.02
128.47,69.94
128.26,69.88
128.05,69.82
127.84,69.75
127.65,69.59
127.48,69.39
127.32,69.18
127.19,68.98
127.08,68.80
126.99,68.71
126.94,68.67
126.92,68.66
126.96,68.65
127.05,68.65
127.29,68.63
127.61,68.59
127.95,68.54
128.31,68.48
128.65,68.41
128.90,68.30
129.09,68.17
129.26,68.03
129.39,67.89
129.49,67.75
129.58,67.62
129.65,67.50
129.69,67.39
129.70,67.29
129.68,67.22
129.58,67.19
129.40,67.19
129.20,67.22
129.02,67.28
128.86,67.35
128.76,67.45
128.84,67.56
128.96,67.69
129.12,67.83
129.31,67.98
129.50,68.14
129.66,68.30
129.83,68.47
130.00,68.62
130.17,68.77
130.36,68.91
130.58,69.04
130.79,69.14
131.01,69.22
131.23,69.28
131.43,69.30
131.63,69.29
131.81,69.24
131.97,69.15
132.11,69.03
132.22,68.85
132.31,68.61
132.35,68.33
132.35,68.03
132.28,67.72
132.15,67.40
131.85,67.09
131.49,66.79
131.09,66.49
130.67,66.20
130.25,65.93
129.90,65.66
129.57,65.41
129.26,65.19
128.97,65.00
128.70,64.85
128.46,64.78
128.23,64.76
128.03,64.78
127.85,64.85
127.69,64.96
127.57,65.17
127.47,65.41
127.39,65.65
127.31,65.86
127.23,66.02
127.13,65.94
127.02,65.81
126.90,65.64
126.76,65.46
126.62,65.29
126.43,65.27
126.23,65.29
126.01,65.33
125.79,65.37
125.56,65.40
125.29,65.33
125.01,65.23
124.75,65.13
124.53,65.05
124.35,64.99
124.31,64.99
124.36,65.06
124.47,65.17
124.62,65.33
124.81,65.54
124.99,65.79
125.18,66.10
125.40,66.46
125.67,66.90
125.99,67.40
126.49,68.17
127.05,69.02
127.62,69.83
128.16,70.56
128.65,71.14
128.88,71.18
129.03,71.03
129.12,70.76
129.17,70.39
129.18,69.95
129.25,69.60
129.29,69.23
129.30,68.84
129.26,68.46
129.17,68.09
128.93,67.69
128.63,67.33
128.30,67.02
127.96,66.78
127.62,66.62
127.35,66.75
127.12,66.99
126.91,67.25
126.75,67.51
126.62,67.73
126.59,67.63
126.59,67.45
126.61,67.24
126.66,67.01
126.70,66.80
126.73,66.69
126.75,66.61
126.76,66.55
126.75,66.52
126.74,66.51
126.71,66.55
126.65,66.60
126.57,66.65
126.44,66.69
126.26,66.68
125.95,66.57
125.63,66.45
125.31,66.34
125.00,66.26
124.75,66.27
124.60,66.43
124.50,66.64
124.45,66.89
124.46,67.15
124.53,67.39
124.64,67.55
124.82,67.74
125.07,67.96
125.41,68.26
125.93,68.79
126.61,69.53
127.31,70.25
128.00,70.90
128.64,71.40
129.04,71.34
129.30,71.00
129.48,70.53
129.57,70.00
129.59,69.47
129.56,69.28
129.48,69.13
129.35,69.00
129.18,68.86
128.98,68.68
128.77,68.28
128.53,67.86
128.29,67.43
128.03,67.02
127.77,66.66
127.49,66.51
127.22,66.43
126.98,66.39
126.76,66.38
126.58,66.38
126.53,66.32
126.52,66.25
126.53,66.18
126.55,66.11
126.55,66.04
126.47,65.99
126.37,65.93
126.24,65.89
126.07,65.85
125.88,65.83
125.59,65.82
125.27,65.82
124.95,65.83
124.65,65.85
124.39,65.88
124.25,65.89
124.18,65.91
124.17,65.95
124.23,66.04
124.33,66.16
124.54,66.44
124.81,66.78
125.11,67.15
125.43,67.52
125.74,67.86
126.01,68.10
126.25,68.29
126.47,68.44
126.66,68.54
126.82,68.61
126.93,68.64
127.01,68.63
127.04,68.57
127.05,68.46
127.02,68.31
126.91,67.99
126.76,67.62
126.60,67.24
126.45,66.89
126.32,66.59
126.23,66.44
126.19,66.42
126.19,66.49
126.25,66.66
126.37,66.92
126.65,67.41
127.02,68.01
127.40,68.64
127.79,69.25
128.15,69.79
128.34,70.06
128.46,70.19
128.54,70.22
128.57,70.16
128.57,70.00
128.58,69.71
128.57,69.34
128.52,68.92
128.44,68.47
128.31,68.01
128.07,67.53
127.77,67.08
127.46,66.67
127.15,66.34
126.86,66.11
126.62,66.13
126.46,66.34
126.35,66.64
126.33,67.00
126.38,67.39
126.65,67.77
127.06,68.13
127.51,68.44
127.97,68.69
128.42,68.85
128.69,68.66
128.87,68.33
129.01,67.98
129.13,67.66
129.25,67.42
129.42,67.72
129.60,68.19
129.79,68.71
129.98,69.22
130.17,69.65
130.33,69.65
130.49,69.44
130.65,69.15
130.82,68.85
131.02,68.56
131.30,68.52
131.61,68.58
131.91,68.67
132.19,68.76
132.41,68.84
132.48,68.81
132.51,68.75
132.50,68.67
132.47,68.55
132.43,68.40
132.44,68.22
132.44,68.01
132.42,67.79
132.36,67.55
132.27,67.31
132.09,67.09
131.86,66.87
131.59,66.64
131.31,66.38
131.00,66.10
130.71,65.76
130.42,65.38
130.10,64.99
129.77,64.59
129.42,64.18
129.02,63.77
128.59,63.36
128.16,62.97
127.72,62.59
127.29,62.24
126.90,61.91
126.53,61.62
126.17,61.38
125.82,61.19
125.47,61.05
125.10,61.05
124.73,61.15
124.36,61.29
124.01,61.45
123.69,61.61
123.40,61.67
123.15,61.64
122.93,61.60
122.74,61.58
122.58,61.58
122.44,61.65
122.29,61.82
122.20,62.05
122.16,62.32
122.20,62.66
122.32,63.04
122.58,63.49
122.94,63.99
123.39,64.54
123.93,65.15
124.60,65.84
125.49,66.71
126.44,67.59
127.41,68.46
128.36,69.26
129.23,69.92
129.90,70.34
130.50,70.63
131.01,70.82
131.45,70.89
131.80,70.84
132.06,70.63
132.25,70.37
132.37,70.06
132.43,69.74
132.42,69.48
132.35,69.36
132.23,69.25
132.06,69.14
131.86,69.01
131.64,68.81
131.41,68.44
131.15,68.06
130.87,67.69
130.57,67.35
130.26,67.10
129.95,67.12
129.62,67.19
129.26,67.27
128.87,67.34
128.44,67.37
127.87,67.10
127.26,66.74
126.63,66.35
126.03,65.95
125.46,65.59
125.01,65.34
124.68,65.21
124.41,65.14
124.18,65.14
123.99,65.21
123.79,65.34
123.54,65.53
123.35,65.79
123.24,66.12
123.22,66.54
123.37,67.09
123.81,67.84
124.33,68.63
124.91,69.40
125.52,70.12
126.09,70.68
126.54,70.91
126.95,71.03
127.31,71.05
127.62,70.99
127.87,70.87
127.94,70.68
127.97,70.47
127.98,70.26
127.98,70.06
128.00,69.91
128.15,69.92
128.35,70.02
128.58,70.16
128.83,70.35
129.08,70.57
129.31,70.85
129.53,71.16
129.74,71.45
129.92,71.71
130.09,71.91
130.20,71.94
130.27,71.85
130.32,71.72
130.36,71.56
130.38,71.39
130.43,71.26
130.48,71.17
130.52,71.09
130.55,71.02
130.56,70.96
130.52,70.91
130.43,70.86
130.32,70.82
130.20,70.81
130.07,70.81
129.93,70.84
129.83,70.95
129.72,71.07
129.61,71.18
129.50,71.29
129.39,71.36
129.31,71.34
129.21,71.30
129.09,71.24
128.94,71.15
128.74,71.06
128.35,70.95
127.93,70.84
127.50,70.73
127.08,70.62
126.70,70.52
126.44,70.37
126.26,70.22
126.14,70.14
126.09,70.15
126.12,70.27
126.29,70.74
126.55,71.43
126.85,72.16
127.17,72.89
127.48,73.55
127.68,73.84
127.84,73.97
127.97,74.03
128.06,74.03
128.13,74.01
128.15,74.12
128.15,74.25
128.14,74.35
128.11,74.43
128.10,74.47
128.08,74.34
128.08,74.13
128.11,73.91
128.17,73.70
128.27,73.54
128.46,73.54
128.72,73.65
129.02,73.80
129.36,73.99
129.75,74.19
130.23,74.45
130.73,74.68
131.22,74.87
131.67,74.98
132.04,74.95
132.23,74.57
132.34,74.10
132.38,73.56
132.36,73.01
132.27,72.47
132.10,72.21
131.89,71.97
131.66,71.73
131.41,71.49
131.16,71.21
131.00,70.68
130.86,70.08
130.74,69.48
